"Time"	"Austria"	"Belgium"	"Denmark"	"Finland"	"France"	"Germany"	"Greece"	"Ireland"	"Italy"	"Luxembourg"	"Netherlands"	"Portugal"	"Spain"	"Sweden"	"UK"	"EU"
08/05/95	152.37	143.2	133.2	147.45	142.28	153.22	161.55	136.6	131.93	157.4	128.25	163.34	145.27	131.07	139.14	142.41
08/12/95	153.11	149.15	133.2	147.11	146.35	157.74	162.07	136.59	136.94	157.37	135.73	165.24	145.33	131.07	139.14	145.5
08/19/95	159.53	155.22	133.2	145.41	152.08	163.54	165.01	136.82	138.93	157.37	142.13	165.24	145.77	131.07	139.34	148.95
08/26/95	164.67	157.75	136	145.92	158.06	166.57	166.73	138.25	156.85	166.92	143.86	165.24	145.32	131.57	140.93	152.39
09/02/95	167.51	154.46	138.53	145.75	161.18	162.95	174.73	137.36	162.35	172.68	140.3	165.24	145.4	135.59	141.92	152.31
09/09/95	161.76	154.21	138.53	145.41	156.67	163.69	176.09	136.48	160.66	173.31	137.78	164.92	146.95	135.36	144.37	151.72
09/16/95	162.29	158.01	138.53	147.11	149.98	166.92	175.31	136.76	161.22	173.95	143.76	151.99	131.25	139.31	147.59	150.21
09/23/95	160.8	157.88	138.53	147.28	148.5	162.49	174.98	136.34	168.1	176.48	140.63	152.62	140.29	138.79	143.8	150.31
09/30/95	161.09	153.2	138.53	147.11	150.16	157.63	174.74	137.62	176.91	177.49	136.99	151.99	140.98	142.42	150.26	149.99
10/07/95	156.84	151.43	135.2	146.77	148.1	154.21	173.27	137.49	175.53	176.73	133.9	152.31	140.9	142.42	150.38	148
10/14/95	160.27	149.4	135.2	146.94	144.38	153.18	173.63	138.84	174.37	174.07	134.04	152.31	141.31	142.94	152.06	147.49
10/21/95	157.74	145.73	132.53	146.6	143.79	149.79	171.52	140.6	176.35	172.74	132.6	151.99	141.04	140.45	151.9	146.01
10/28/95	151.85	141.81	132.53	147.11	144.91	145.81	171.22	140.81	178.78	172.36	128.02	151.2	141.06	140.45	151.2	144.48
11/04/95	146.39	141.43	132.53	148.3	143.87	146.64	169.72	141.35	179.22	169.01	126.1	146.63	137.92	146.39	151.45	152.59
11/11/95	150.13	142.57	132.53	148.47	141.93	149.97	167.74	142.55	174.33	163.57	127.83	145.37	137.19	146.07	152.28	144.09
11/18/95	151.99	147.76	132.53	149.32	146.58	152.93	166.79	142.93	171.09	163.13	134.46	150.1	150.12	146.07	152.74	148.35
11/25/95	155.2	148.52	135.07	149.15	148.66	153.1	166.12	142.25	164.81	162.37	134.28	150.1	149.95	149.15	152.31	148.54
12/02/95	155.87	146.62	137.73	150	148.1	152.07	163.41	141.35	164.31	162.37	132.83	150.1	149.29	148.77	154.12	148.19
12/09/95	157.51	148.39	137.73	151.19	143.16	153.45	164.9	140.07	162.98	161.42	129.88	150.1	147.18	148.01	154.27	147.3
12/16/95	153.11	151.17	135.07	152.38	139.21	156.42	166.38	139.7	160.76	164.27	133.9	150.1	147.49	142.6	156.08	147.67
12/23/95	153.26	151.17	135.07	152.55	138.63	156.42	166.18	139.99	159.32	157.63	132.36	148.83	145.02	142.6	156.6	146.95
12/30/95	154.31	157.3	135.07	148.98	138.63	156.42	166.03	139.99	159.48	157.63	132.36	148.84	142.62	138.38	158.34	146.61
01/06/96	158.41	151.3	135.07	144.73	139.51	155.52	163.72	140.09	159.16	167.3	132.45	148.21	138.54	138.6	159.02	145.98
01/13/96	155.95	146.62	135.07	142.86	141.81	150.26	163.43	140.99	156.04	166.86	131.52	148.52	138.44	138.65	159.83	144.48
01/20/96	153.71	142.83	135.07	141.33	142.33	146.83	163.43	143.88	152.23	163.91	126.15	148.37	136.17	140.64	159.14	142.27
01/27/96	149.53	143.58	135.1	139.46	140.89	149.81	162.84	148.54	144.76	160.47	129	147.89	135.55	140.64	159.7	142.43
02/03/96	151.92	149.02	135.07	138.61	142.49	152.83	162.54	152.84	141.33	161.61	134.04	150.42	139.55	137.29	160.91	144.76
02/10/96	155.87	149.02	137.87	137.93	148.36	153.39	161.95	157.7	140.3	161.36	134.04	156.72	146.55	137.4	163.96	147.36
02/17/96	158.56	149.02	138.4	136.91	153.22	154.68	160.47	159.12	140.05	161.11	134.23	157.67	146.26	138.07	165.73	148.43
02/24/96	160.27	151.43	140.8	135.37	151.3	159.1	161.95	157.34	140.99	161.8	138.86	157.67	146.25	138.07	165.36	150.13
03/02/96	161.54	154.34	140.8	135.54	151.55	159.38	161.95	153.69	140.05	162.31	143.29	155.15	143.44	139.75	165	150.37
03/09/96	160.5	153.33	140.8	135.37	153.04	157.24	162.92	151.34	138.8	166.48	139.84	155.15	144.5	139.75	163.35	149.53
03/16/96	160.57	154.21	140.8	135.71	153.2	161.1	163.22	150.78	135.94	166.54	139.79	154.83	144	139.86	162.53	150.08
03/23/96	160.87	157.63	140.8	135.37	151.4	162.52	163.53	149.43	134.39	166.8	144.6	154.83	146.31	139.86	161.53	151.13
03/30/96	160.5	157.63	140.8	135.54	153.02	161.44	165.95	148.81	136.65	168.57	143.06	154.83	144.18	140.08	164.03	150.9
04/06/96	160.94	157.27	140.8	135.8	157.18	159.48	165.65	150.29	140.02	168.89	140.87	150.42	141.99	139.08	171.13	150.98
04/13/96	160.87	159.27	146.53	135.26	158.88	164.66	165.65	150.81	147.72	170.78	144.42	153.25	144.5	139.08	167.69	154.1
04/20/96	164.38	164.63	146.53	133.96	159.12	168.63	165.34	154.11	146.44	171.42	149.79	160.19	153.63	139.97	167.26	157.54
04/27/96	166.76	163.7	146.53	134.67	157.24	169.78	165.65	155.17	145.28	175.72	147.36	161.14	154.13	137.06	163.77	157.05
05/04/96	167.51	162.89	146.53	136.01	157.03	170.35	171.7	162.79	145.25	180.33	146.33	161.14	154.25	134.38	146.53	156.98
05/11/96	169.71	167.29	146.53	134.21	160.93	175.88	179.58	155.12	144.36	181.66	154.6	170.6	160.94	134.38	161.79	161.09
05/18/96	172.17	175.89	146.53	134.21	168.07	184.29	187.76	155.49	149.4	182.17	162.69	183.21	170.27	134.38	165.04	167.63
05/25/96	181.49	187.28	149.2	135.37	174.61	197.91	204.42	157.02	156.68	187.51	175.96	188.57	171.37	134.38	169.94	175.39
06/01/96	192.78	192.42	152.13	136.53	176.3	202.74	204.42	158.49	164.25	194.76	182.68	198.35	179.1	134.38	174.12	180.61
06/08/96	203.78	192.69	156	138.68	180.75	202.72	204.42	160.96	162.62	202.28	179	201	185.77	134.26	174.98	182.52
06/15/96	203.84	185.08	162.52	139.51	187.08	195.4	"NA"	164.6	156.61	211.33	174.02	205.6	189.39	135.38	175.91	181.5
06/22/96	202.73	178.02	162.53	141.17	188.1	187.63	209.26	164.43	152.39	1210.78	166.04	206.23	189.46	138.18	180.71	178.91
06/29/96	196.2	178.17	162.53	140.51	182.66	186.74	209.87	164.21	152.64	203.23	166.86	199.29	185.67	140.08	183.17	177.46
07/06/96	196.24	184.72	160	140.51	177.91	192	209.87	161.49	162.06	195.26	171.69	199.29	186.18	140.87	186.08	179.4
07/13/96	197.37	190.11	160	140.51	183.53	191.83	211.08	160.11	172.6	197.16	176.6	204.34	186.43	144.95	187.02	182.22
07/20/96	203.89	193.66	160	140.84	191.07	202.75	210.9	158.4	177.01	204.88	180.56	208.44	192.69	144.95	185.71	187.39
07/27/96	204.56	193.25	163.07	140.84	194.67	200.08	211.08	155.96	178.35	209.87	171.9	213.8	196.43	144.95	182.46	187.07
08/03/96	205.01	186.34	163.07	140.51	185.32	195.99	209.87	154.42	178.19	211.77	167.72	202.45	186.18	144.95	177.93	181.99
08/10/96	200.19	188.57	160.4	140.51	177.3	200.35	208.66	153.28	182.19	212.59	176.14	198.03	179.83	145.53	174.55	181.62
08/17/96	200.71	195.2	160.4	140.84	178.69	203.22	207.45	153.15	182.62	208.04	181.67	196.77	181.15	145.53	174.51	183.67
08/24/96	203.75	193.68	162.53	141.5	183.93	203.22	205.93	153.48	189.98	209.37	177.77	202.13	185.13	149	174.74	185.37
08/31/96	203.6	187.73	165.07	141.34	183.26	195.37	204.42	155.39	190.96	208.67	169.58	201.81	184.41	11.89	172.56	182.42
09/07/96	200.11	184.42	165.07	141.01	175.3	194.3	201.99	156.35	186.9	212.37	169.58	21.5	188.58	155.36	171.14	181.2
09/14/96	200.48	190.11	163.2	142.5	174.03	199.13	202.6	156.75	186.66	207.72	174.84	193.93	189.09	155.36	170.66	182.76
09/21/96	199.82	189.08	163.2	142.83	176.85	193.53	202.6	157.32	197.22	205.32	171.44	182.58	173.49	160.45	171.14	179.73
09/28/96	199.59	185.1	165.33	143.66	175.73	188.19	202.3	156.13	198.34	213.16	166.74	182.58	173.03	161.49	170.34	177.84
10/05/96	192.7	178.58	165.33	143.83	168.83	182.62	201.99	155.4	196.87	209.62	160.14	175.39	165.67	162.76	169.15	172.97
10/12/96	183.82	171.92	162.67	146.32	165.14	175.82	201.69	154.15	187.23	202.44	153.81	159.88	152.73	162.32	166.61	166.28
10/19/96	176.46	167.67	162.67	148.31	161.02	171.15	191.03	155.11	181.1	198.43	150.55	159.88	152.43	162.76	164.53	163.26
10/26/96	173.32	162.85	162.67	150.46	154.31	165.16	190.79	151.57	176.86	189.97	145.75	159.88	152.45	162.53	159.57	159.56
11/02/96	168.35	152.73	158.27	150.79	144.5	156.25	187.46	149.59	170.52	189.71	134.58	155.15	149	161.95	157.71	152.7
11/09/96	158.28	143.49	151.33	150.96	136	149.25	175.04	145.45	159.12	185.67	126.7	146.95	138.79	157.79	153.36	144.67
11/16/96	155.69	144.57	145.73	150.79	134.37	152.35	168.07	143.05	155.69	176.96	131.24	151.36	146.72	154.55	149.09	145.74
11/23/96	156.36	151	141.47	151.13	135.85	156.58	160.67	141.48	158.1	167.38	138.28	151.36	146.74	146.8	145.6	147.37
11/30/96	159.55	148.57	141.47	151.29	140.48	153.01	160.8	140.06	149.04	173.73	134.56	153.13	148.59	146.8	145.6	147.09
12/07/96	162.54	148.47	141.47	152.29	140.84	154.87	161.41	138.84	156.74	175.11	136.26	157.98	152.02	146.57	146.78	148.36
12/14/96	166.47	152.25	141.47	152.45	142.78	157.06	160.5	139.44	154.1	173.69	140.76	161.14	156	146.57	144.83	150.32
12/21/96	166.07	151.39	138.93	152.62	138.15	155.81	158.95	139.04	152.37	175.32	134.13	166.06	156	143.69	144.83	148.15
12/28/96	157.83	149.5	135.2	150.56	132.02	153.81	159.51	139.08	151.79	175.49	133.94	166.27	155.01	140.75	141.08	145.91
01/04/97	158.46	150.25	135.2	142.17	129.56	153.19	157.77	137.57	152.24	175.14	134.62	159.88	148.34	143.79	135.18	144.18
01/11/97	160.4	155.37	135.2	138.69	135.34	155.42	157.17	137.16	155.29	179.53	137.15	152.81	141.3	140.9	134.22	144.68
01/18/97	160.2	153.03	135.2	137.69	140.51	153.09	156.26	138.4	158.79	181.7	133.59	159.5	148.01	140.9	131.66	145.5
01/25/97	148.67	146.41	135.2	137.85	138.3	146.84	157.17	138.23	156.38	182.42	125.46	160.82	150.76	136.39	136.62	142.7
02/01/97	145.04	144.59	135.2	137.36	132.01	145.99	158.08	136.96	153.68	183.38	125.31	155.78	146.99	136.39	136.51	140.6
02/08/97	147.95	145.41	135.2	137.02	132.1	149.18	158.08	132.66	151.75	174.81	127.77	155.78	147.3	136.06	132.82	141.3
02/15/97	155.95	151.96	135.2	135.53	139.42	155.75	160.5	133.13	155.58	174.86	134.42	155.78	147.68	135.73	133.91	145.44
02/22/97	159.32	157.63	137.47	133.71	146.95	164.49	160.5	132.12	157.64	178.93	134.29	155.78	151.92	135.73	134.02	149.59
03/01/97	161.72	157.9	137.47	132.71	150.04	160.35	169.28	135.27	152.76	185.58	133.42	163.66	155.87	137.23	137.87	149.94
03/08/97	155.49	156.95	139.87	132.41	147.31	163.86	168.1	136.53	149.76	192.85	135.12	165.52	158.55	138.47	138.98	150.86
03/15/97	156.11	163.66	139.87	131.88	151.71	166.86	167.77	138.18	150.36	188.7	141.78	166.18	158.55	138.19	141.53	153.46
03/22/97	159.46	162.84	139.87	132.38	157.7	163.46	167.77	138.48	156.01	191.74	144.01	165.87	162.88	136.73	142.61	154.94
03/29/97	160.04	163.04	139.87	132.05	157.45	166.87	167.77	140.36	159.72	195.11	140.51	165.87	162.87	135.07	144.5	155.59
04/05/97	160.4	169.41	139.87	132.21	154.55	174.15	166.56	144.31	158.1	193.87	145.33	165.87	162.69	134.95	148.82	157.89
04/12/97	168.55	177.42	144.53	132.55	158.21	180.16	165.65	144.87	157.76	194.18	164.53	160.82	162.93	138.35	149.37	163.11
04/19/97	177.2	186.07	148.67	132.88	165.8	193.91	166.56	147.86	163.62	197.58	181.04	168.39	170.57	144.12	151.67	172.12
04/26/97	189.79	206.42	156.4	133.71	175.61	218.08	165.34	155.37	176.54	211.34	213.99	181.32	186.22	149.78	157	188.79
05/03/97	206.41	228.91	164.67	135.86	189.53	231.44	210.34	163.87	182.18	226.63	226.49	197.08	201.31	161.45	167.07	201.91
05/10/97	227.11	225.74	185.07	136.86	201.75	232.08	221.67	173.69	180.47	256.24	204.78	209.07	213.91	170.08	175.91	206.37
05/17/97	225.73	220.83	195.87	140.01	206.38	224.58	224.05	177.25	177.81	256.13	205.12	214.43	216.2	190.98	179.64	207.16
05/24/97	210.93	207.53	195.87	144.49	196.15	211.89	222.2	179.65	174.61	257.18	190.6	214.11	215.56	185.92	183.32	210.93
05/31/97	198.83	190.76	191.6	144.66	185.23	198.15	216.98	179.6	168.55	249.18	171.05	210.77	214.23	185.47	182.44	190.91
06/07/97	189.33	177.99	184.8	147.31	178.42	190.6	209.2	174.32	165.34	234.76	167.24	188.89	192.55	177.14	186.52	182.32
06/14/97	187.88	180.94	174.93	147.64	178.75	194.02	202.29	171.87	165.18	220.62	172.77	188.89	178.06	171.51	187.58	180.6
06/21/97	192.66	179.01	170.4	147.81	174.76	189.12	197.19	170.94	165.18	210.17	162.2	181	181.76	171.18	188.66	177.82
06/28/97	176.2	166.05	170.4	148.31	169.28	174.72	197.19	167.29	159.55	215.32	149.9	181	178.3	162.96	185.61	170.05
07/05/97	166.63	159.02	162	148.64	169.77	166.24	192.07	161.53	158.34	207.77	148.27	181	178.1	157.78	182.28	166.1
07/12/97	166.19	167.98	155.05	148.8	171.79	175.48	194.48	152.82	157.46	194.78	155.57	180.6	169.9	151.48	179.1	167.2
07/19/97	175.52	177.14	181.85	147.31	177.31	195.67	195.67	149.12	165.29	193.93	160.96	179.75	169.58	150.58	176.1	170.63
07/26/97	176.9	176.62	154.32	146.98	178.12	182.45	197.16	149.89	168.61	207.96	153.88	172.02	166.21	150.58	171.87	169.51
08/02/97	177.08	176.44	157.05	146.65	169.15	183.93	198.66	149.29	161.04	212.84	160.27	169.37	166.02	150.58	165.8	168.71
08/09/97	179.23	176.05	154.06	146.98	165.02	184.62	199.86	148.84	162.63	212.67	169.02	169.18	165.02	155.63	161.16	168.89
08/16/97	181.13	184.2	154.36	147	166.33	188.79	201.37	147.13	162.97	214.65	172.12	178.89	170.22	155.05	155.71	171.51
08/23/97	188.48	189.7	156.71	147.14	174.53	193.63	201.37	147.27	163.63	224.76	178.92	185.95	177.87	155.98	153.86	176.46
08/30/97	188.34	192.64	160.02	149.3	179.11	197.3	199.26	143.35	168.69	229.65	178.7	187.01	183.82	156.43	151.84	179.38
09/06/97	188.55	188.92	160.02	149.47	175.73	194.82	199.26	138.29	173.28	229.65	168.62	188.57	185.49	158.68	150.66	177.52
09/13/97	180.02	182.03	160.02	149.3	170.46	186.79	199.86	137.53	173.56	229.65	160.02	181.9	185.52	158.68	153.15	173.54
09/20/97	173.85	181.45	160.02	149.47	171.63	189.44	198.08	137.55	174.46	212.55	162.44	169.42	176.45	158.8	154.3	172.74
09/27/97	181.6	190.07	160.02	149.8	174.17	196.51	196.88	137.61	177.86	219.88	174.8	161.62	171.18	161.38	157.37	176.27
10/04/97	182.38	184.28	162.54	152.29	176.11	186.38	196.26	138.16	186.68	227.21	164.27	161.62	170.28	161.38	158.11	173.64
10/11/97	169.55	174.22	162.54	152.45	168.31	181.31	194.45	138.73	185.09	214.99	152.05	156.31	163.67	162.74	158.26	167.91
10/18/97	167.54	167.35	156.97	155.11	160.56	172.01	191.16	138.86	178.42	210.1	144.43	138.84	148.87	165.96	155.49	159.88
10/25/97	156.93	158.56	153.79	155.44	153.81	159.27	182.74	140.45	175.23	197.89	141.34	143.83	149.95	162.26	153.92	154.73
11/01/97	156.72	154.55	153.79	155.77	148.18	156.85	180.04	139.27	177.02	188.12	141.61	148.14	150.47	162.26	152.37	153.45
11/08/97	156.93	154.06	151.01	154.78	145.52	156.02	177.93	139.2	176.53	188.12	142.55	147.01	157.3	152.09	150.75	153.45
11/15/97	156.86	157.38	148.23	155.94	144.89	157.45	173.44	137.38	173.32	185.67	142.1	161.62	162.49	156.6	149.61	154.4
11/22/97	157.29	158.85	148.23	156.27	145.79	159.31	173.13	137	173.29	195.45	142.01	168.48	170.36	153.25	145.1	157.01
11/29/97	159.8	155.55	148.23	155.27	142.02	156.59	161.72	135.33	172.48	193	133.24	168.48	170.48	152.21	141.78	153.39
12/06/97	155.5	143.8	144.52	154.78	135.5	152.93	158.72	134.41	166.87	185.67	122.94	156	154.99	155.52	138.08	146.09
12/13/97	147.97	142.87	142.27	154.44	130.66	150.28	156.32	134.4	161	175.9	114.74	151.01	137.93	153.71	135.25	140.05
12/20/97	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
12/27/97	141.37	139.95	124.78	151.61	127.59	145.01	157.25	132.77	159.4	171.02	116.01	138.62	130.18	142.15	132.77	134.74
01/03/98	140.95	140.65	124.78	146.48	131.94	144.58	156.16	131.07	161.17	171.02	119.84	144.69	131.63	142.15	131.59	135.96
01/10/98	143.6	141.85	124.78	141.17	139.3	143.32	154.81	125.84	164.6	173.46	119.93	150.3	138.33	141.77	130.91	138
01/17/98	142.38	136.76	122.27	139.51	139.06	137.66	158.72	123.59	164.02	173.46	113.84	155.27	137.6	138.51	130.45	135.33
01/24/98	136.79	129.51	122.55	139.35	130.93	133.1	156.92	123.04	162.2	166.13	107.62	155.04	137.88	138.51	1239.55	131.83
01/31/98	132.77	135.3	118.69	137.52	125.54	139.49	156.62	124.1	163.21	158.8	115.99	145.33	132.29	136.38	129.85	132.31
02/07/98	139.87	140.53	118.69	136.53	129.97	143.3	156.01	126.38	167.35	166.13	124.32	150.29	138.58	136.79	132.06	136.73
02/14/98	144.39	146.85	118.69	136.36	137.6	149.64	156.01	130.34	167.35	168.57	129.97	150.29	145.71	136.38	136.76	141.66
02/21/98	147.47	148.39	122.66	136.53	144.86	151.11	158.42	131.26	171	180.79	130.55	155.11	149.96	137.82	135.86	144.54
02/28/98	147.83	148.12	126.77	136.03	148.6	152.05	157.52	130.74	165.74	180.79	128.44	155.01	149.79	135.45	139.05	145.08
03/07/98	146.11	146.56	126.77	136.2	144.5	149.52	155.72	130.08	159.62	178.34	128.67	155.63	149.48	141.36	138.76	143.54
03/14/98	139.69	139.36	126.77	136.18	137.78	142.58	155.49	130.09	153.4	177.84	120.59	152.85	148.2	141.36	140.7	139.89
03/21/98	136.29	134.91	126.77	134.7	130.6	139.79	146.14	129.31	154.48	168.57	113.44	138.46	140.2	141.36	141.84	134.89
03/28/98	136.22	136.84	126.72	134.54	127.16	138.82	140.39	128.67	159.04	166.13	117.69	123.65	127.3	144.2	143.73	133.01
04/04/98	136.32	139.57	126.64	134.7	126.83	140.9	142.69	128.1	160.08	171.02	119.14	136.12	138.13	144.09	142.99	135.7
04/11/98	136.06	137.28	126.55	134.54	131.85	139.89	142.69	126.36	158.76	171.02	119.05	137.81	138.08	144.2	141.71	135.8
04/18/98	135.7	134.32	126.55	134.04	127.76	136.32	142.69	126.03	154.89	168.57	114.26	143.34	141.87	140.22	140.07	134.02
04/25/98	131.54	128.33	123.77	134.04	121.72	132.78	143.22	125.09	149.78	163.69	106.66	142.73	140.96	137.04	140.05	130.27
05/02/98	127.1	121.74	123.77	134.04	116.93	127.4	142.68	123.3	149.78	158.8	102.1	133.19	131.82	140.91	138.74	125.83
05/09/98	120.29	120.27	111.74	134.04	117.98	123.28	141.62	122.96	137.25	153.91	102.1	133.19	130.59	140.45	141.35	122.77
05/16/98	121.51	125.6	111.74	134.21	122.7	128.51	140.55	122.73	135.34	151.47	106.43	138.11	135.54	139.66	141.05	126.01
05/23/98	128.89	126.43	111.74	134.37	127.01	130.26	142.15	121.7	135.34	158.8	109.48	142.73	138.5	139.66	140.31	128.08
05/30/98	133.05	126.23	111.74	134.7	128.33	130.06	138.14	121.7	131.22	158.8	106.3	143.04	142.02	130.67	139.1	127.93
06/06/98	131.97	123.69	111.74	134.87	123.66	127.27	136.53	120.86	127.78	158.8	102.81	140.64	136.4	134.65	138.48	125.01
06/13/98	130.68	124.82	111.74	134.87	121.63	127.04	135.18	119.75	123.39	151.47	104.38	144.57	143.66	131.01	135.93	125.57
06/20/98	132.83	127.5	111.74	134.87	126.92	128.65	135.71	120	121.93	156.36	109.34	144.57	143.22	135.11	134.57	127.23
06/27/98	132.76	129.26	111.74	134.87	129.82	131.97	135.45	119.59	123.84	156.36	113.77	144.88	143.42	135.9	136.43	129.21
07/04/98	132.83	126.31	111.74	132.55	129.37	130.84	136.52	118.42	123.03	158.8	110.42	144.57	146.38	136.02	134.42	128.98
07/11/98	131.69	120.93	108.43	132.55	127.97	126.89	137.32	116.09	118.8	151.47	103.57	144.57	141.69	136.02	132.37	125.56
07/18/98	125.81	116.44	104.73	132.05	123.48	123.75	137.86	116	117.05	141.7	101.38	135.35	135.98	131.58	129.15	121.73
07/25/98	125.24	116.36	104.73	132.38	118.67	122.48	141.83	113.55	123.11	141.7	101.43	130.12	126.62	127.94	124.72	119.24
08/01/98	126.31	118.51	104.73	132.38	116.21	125.17	142.5	113.55	133.89	141.7	101.43	130.12	127.08	127.94	118.82	120.08
08/08/98	125.02	144.51	104.73	132.38	116	120.31	142.5	108.49	135.16	144.14	94.99	134.42	126.64	127.71	113.55	117.8
08/15/98	125.52	113.14	104.73	132.71	116.03	118.81	142.22	108.41	133	136.81	95.12	135.59	126.78	128.06	107.35	116.62
08/22/98	124.59	112.58	104.73	132.71	116.33	116.92	142.22	105.56	134.94	139.26	95.03	135.96	126.78	131.81	104.67	116.49
08/29/98	120.1	107.17	104.66	131.38	117.25	109.86	141.41	105.52	134.59	138.55	90.51	133.91	123.63	130.6	98.78	113.23
09/05/98	112.77	103.15	103.01	131.38	116.9	106.66	140.43	103.86	137.9	129.48	86.53	125.85	115.65	128.92	95.53	109.93
09/12/98	112.63	105.91	100.24	130.06	110.59	108	142.76	103.09	148.88	129.48	86.89	115.66	103.4	128.54	92.12	107.64
09/19/98	113.27	105.96	100.24	129.73	107.21	108.95	142.77	103.04	151.74	129.48	88.72	105.82	95.83	128.43	90.6	106.25
09/26/98	112.84	109.82	100.24	128.56	110.65	110.86	141.38	101.91	149.38	129.48	88.63	115.66	106.02	129.32	89.94	108.95
10/03/98	115.14	106.35	100.24	127.9	114.54	108.75	140.83	100.47	139.56	141.7	86.62	115.66	105.25	124.14	90.15	107.76
10/10/98	108.97	99.75	100.24	126.08	111.64	102.05	140.83	98.36	132.68	131.93	80.72	100.59	91.22	115.64	90.49	101.54
